Ticker,Nom du fonds,Frais,Distribution,Réplication,ISIN
IE00BF4NQ904.SG,HSBC MSCI China A Inclusion UCITS ETF,"0,30%",Distribution,Réplication complète,IE00BF4NQ904
U10C.L,Amundi US Treasury Bond Long Dated UCITS ETF Acc,"0,06%",Capitalisation,Réplication complète,LU1407890547
LBRE.DE,Amundi STOXX Europe 600 Basic Resources UCITS ETF Acc,"0,30%",Capitalisation,Basée sur swap non financé,LU1834983550
CBUSE.MI,UBS Core BBG US Liquid Corp UCITS ETF hEUR acc,"0,09%",Capitalisation,Échantillonnage,LU1048317025
WELB.DE,Amundi MSCI ACWI SRI Climate Paris Aligned UCITS ETF DR - USD,"0,20%",Capitalisation,Réplication complète,IE0000ZVYDH0
SXLY.L,SPDR S&P U.S. Consumer Discretionary Select Sector UCITS ETF USD,"0,15%",Capitalisation,Réplication complète,IE00BWBXM278
D5BL.DE,Xtrackers MSCI Europe Value UCITS ETF 1C,"0,15%",Capitalisation,Réplication complète,LU0486851024
IE00BGDQ0V72.SG,iShares MSCI Japan SRI UCITS ETF USD (Dist),"0,20%",Distribution,Réplication complète,IE00BGDQ0V72
XS7R.L,Xtrackers MSCI Europe Financials Screened UCITS ETF 1C 1C,"0,17%",Capitalisation,Réplication complète,LU0292103651
ZPR6.DE,SPDR ICE BofA 0-5 Year EM USD Government Bond UCITS ETF EUR Hedged (Acc),"0,47%",Capitalisation,Échantillonnage,IE00BJL36X53
GLAB.L,SPDR Bloomberg Global Aggregate Bond UCITS ETF GBP Hedged,"0,10%",Distribution,Échantillonnage,IE00BF1QPJ56
ECOM.L,L&G Ecommerce Logistics UCITS ETF,"0,49%",Capitalisation,Réplication complète,IE00BF0M6N54
IE000DNSAS54.SG,Xtrackers MSCI Emerging Markets Climate Transition UCITS ETF 1C 1C,"0,16%",Capitalisation,Réplication complète,IE000DNSAS54
GLTA.L,Invesco UK Gilts UCITS ETF Acc,"0,06%",Capitalisation,Échantillonnage,IE00BG0TQD32
B8TQ.DE,Amundi Global Government Inflation-Linked Bond 1-10Y UCITS ETF EUR Hedged Dist,"0,20%",Distribution,Échantillonnage,LU1910940268
LU2206598109.SG,UBS MSCI Europe Socially Responsible UCITS ETF hEUR acc,"0,21%",Capitalisation,Réplication complète,LU2206598109
EMLI.L,PIMCO Emerging Markets Advantage Local Bond UCITS ETF Dist,"0,39%",Distribution,Échantillonnage,IE00BH3X8336
IE00BM8QS095.SG,Invesco MSCI China Technology All Shares Stock Connect UCITS ETF Acc,"0,49%",Capitalisation,Réplication complète,IE00BM8QS095
IUVD.L,iShares Edge MSCI USA Value Factor UCITS ETF USD (Dist),"0,20%",Distribution,Réplication complète,IE00BFF5RX68
IPRA.AS,iShares Listed Private Equity UCITS ETF USD (Acc),"0,75%",Capitalisation,Réplication complète,IE000D8FCSD8
EQSP.DE,Amundi S&P 500 Equal Weight UCITS ETF Acc,"0,12%",Capitalisation,Basée sur swap non financé,LU2991918421
IE000FXHG8D6.SG,Invesco US Treasury Bond 10+ Year UCITS ETF EUR Hedged Dist,"0,10%",Distribution,Échantillonnage,IE000FXHG8D6
WINC.AS,iShares World Equity High Income UCITS ETF USD (Dist),"0,35%",Distribution,Réplication complète,IE000KJPDY61
XEEU.DE,Xtrackers US Equity Enhanced Active UCITS ETF 1C,"0,20%",Capitalisation,Réplication complète,IE0002PGSLZ5
LU2408468291.SG,UBS BBG MSCI US Liquid Corp 1-5 Sustainable UCITS ETF hEUR acc,"0,18%",Capitalisation,Échantillonnage,LU2408468291
JMBA.L,JPMorgan USD Emerging Markets Sovereign Bond UCITS ETF,"0,39%",Capitalisation,Échantillonnage,IE00BJ06C937
0DWR.L,Xtrackers Spanish Equity UCITS ETF 1C,"0,30%",Capitalisation,Réplication complète,LU0592216393
INS.PA,Amundi STOXX Europe 600 Insurance UCITS ETF Acc,"0,30%",Capitalisation,Basée sur swap non financé,LU1834987973
QUTM.DE,VanEck Quantum Computing UCITS ETF A,"0,55%",Capitalisation,Réplication complète,IE0007Y8Y157
GENDER.SW,UBS Global Gender Equality UCITS ETF USD acc,"0,20%",Capitalisation,Réplication complète,IE00BDR5GV14
LU2468423459.SG,Xtrackers II ESG Eurozone Government Bond UCITS ETF 1C,"0,15%",Capitalisation,Échantillonnage optimisé,LU2468423459
XCSI.DE,Xtrackers CSI500 Swap UCITS ETF 1C 1C,"0,35%",Capitalisation,Basée sur swap,LU2788421340
IE000CBYU7J5.SG,L&G Emerging Markets ESG Exclusions Paris Aligned UCITS ETF USD Accumulating ETF,"0,25%",Capitalisation,Réplication complète,IE000CBYU7J5
CEM.PA,Amundi MSCI Europe Small Cap ESG Broad Transition UCITS ETF Acc,"0,23%",Capitalisation,Réplication complète,LU1681041544
ENRG.PA,Amundi STOXX Europe 600 Energy ESG Screened UCITS ETF Acc,"0,30%",Capitalisation,Réplication complète,LU1834988278
JSEM.L,JPMorgan Global Emerging Markets Research Enhanced Index Equity SRI Paris Aligned Active UCITS ETF USD (acc),"0,30%",Capitalisation,Réplication complète,IE000ANHU3J3
IE00BLRPRF81.SG,L&G ESG Emerging Markets Corporate Bond UCITS ETF,"0,35%",Distribution,Échantillonnage,IE00BLRPRF81
PSRW.L,Invesco FTSE RAFI All World 3000 UCITS ETF,"0,39%",Distribution,Échantillonnage optimisé,IE00B23LNQ02
TUR.PA,Amundi MSCI Turkey UCITS ETF Acc,"0,45%",Capitalisation,Basée sur swap non financé,LU1900067601
MCHN.L,Invesco MSCI China All Shares Stock Connect UCITS ETF Acc,"0,35%",Capitalisation,Réplication complète,IE00BK80XL30
VGUE.DE,Vanguard U.K. Gilt UCITS ETF EUR Hedged Accumulating,"0,10%",Capitalisation,Échantillonnage,IE00BMX0B524
LU2572257470.SG,Amundi MSCI Europe Small Cap ESG Broad Transition UCITS ETF Dist,"0,23%",Distribution,Réplication complète,LU2572257470
WOOD.L,iShares Global Timber & Forestry UCITS ETF,"0,65%",Distribution,Réplication complète,IE00B27YCF74
XTCKF,Xtrackers USD High Yield Corporate Bond UCITS ETF 1C,"0,20%",Capitalisation,Échantillonnage,IE00BDR5HN05
GILE.L,iShares Global Inflation Linked Government Bond EUR Hedged UCITS ETF (Dist),"0,20%",Distribution,Échantillonnage,IE00BD8PH174
FEDG.L,Amundi USD Fed Funds Rate UCITS ETF Acc,"0,10%",Capitalisation,Basée sur swap non financé,LU1233598447
IE00BMDBMN04.SG,iShares EUR Green Bond UCITS ETF EUR (Dist),"0,20%",Distribution,Échantillonnage,IE00BMDBMN04
PDJE.PA,Amundi PEA S&P US Industrials Screened UCITS ETF Acc,"0,50%",Capitalisation,Basée sur swap non financé,FR0011869270
SUSC.L,SPDR Bloomberg 0-3 Year US Corporate Bond UCITS ETF,"0,12%",Distribution,Échantillonnage,IE00BC7GZX26
WTEL.L,SPDR MSCI World Telecommunications UCITS ETF,"0,30%",Capitalisation,Réplication complète,IE00BYTRRG40
IE000WIQIPT2.SG,iShares USD TIPS 0-5 UCITS ETF EUR Hedged (Dist),"0,12%",Distribution,Échantillonnage,IE000WIQIPT2
XZME.DE,Xtrackers MSCI USA ESG UCITS ETF 2C - EUR Hedged,"0,20%",Capitalisation,Réplication complète,IE0000MMQ5M5
GSCU.PA,BNP Paribas Easy Energy & Metals Enhanced Roll UCITS ETF USD,"0,39%",Capitalisation,Basée sur swap non financé,LU1291109533
IE0002L5QB31.SG,Global X S&P 500 Covered Call UCITS ETF D,"0,45%",Distribution,Basée sur swap non financé,IE0002L5QB31
AIFS.DE,iShares AI Infrastructure UCITS ETF USD (Acc),"0,35%",Capitalisation,Réplication complète,IE000X59ZHE2
XQUA.L,Xtrackers ESG USD Emerging Markets Bond Quality Weighted UCITS ETF 1D,"0,45%",Distribution,Échantillonnage optimisé,IE00BD4DX952
GUARD.PA,BNP Paribas Easy Bloomberg Europe Defense UCITS ETF Acc,"0,18%",Capitalisation,Réplication complète,LU3047998896
USFMA.SW,UBS MSCI USA Select Factor Mix UCITS ETF USD acc,"0,25%",Capitalisation,Échantillonnage optimisé,IE00BDGV0415
BCOG.L,L&G All Commodities UCITS ETF,"0,15%",Capitalisation,Basée sur swap non financé,IE00BF0BCP69
ITEK.L,HANetf HAN-GINS Tech Megatrend Equal Weight UCITS ETF,"0,59%",Capitalisation,Réplication complète,IE00BDDRF700
UIM2.DE,UBS Factor MSCI EMU Quality Screened UCITS ETF EUR dis,"0,25%",Distribution,Réplication complète,LU1215451524
USYH.MI,Amundi USD High Yield Corporate Bond ESG UCITS ETF EUR HEDGED Dist,"0,30%",Distribution,Échantillonnage,LU1435356495
SGLS.L,Invesco Physical Gold GBP Hedged ETC,"0,34%",Capitalisation,Physiquement garanti,XS2183935605
HLQD.L,iShares USD Corporate Bond Interest Rate Hedged UCITS ETF USD (Acc),"0,25%",Capitalisation,Échantillonnage,IE00BZ173W74
FGLS.L,Fidelity Global Equity Research Enhanced UCITS ETF ACC-USD,"0,25%",Capitalisation,Réplication complète,IE00BKSBGV72
C051.DE,Amundi Euro Stoxx Select Dividend 30 UCITS ETF Dist,"0,25%",Distribution,Réplication complète,LU2611732558
JEAG.L,JPMorgan Global Equity Premium Income Active UCITS ETF USD (acc),"0,35%",Capitalisation,Réplication complète,IE000WX7BVB0
XRES.L,Invesco US Real Estate Sector UCITS ETF,"0,14%",Capitalisation,Basée sur swap non financé,IE00BYM8JD58
TRE3.L,Invesco US Treasury Bond 1-3 Year UCITS ETF Dist,"0,06%",Distribution,Échantillonnage,IE00BF2FNG46
XDUK.L,Xtrackers FTSE 100 UCITS ETF 1C,"0,09%",Capitalisation,Réplication complète,LU0838780707
LU1659681586.SG,BNP Paribas Easy MSCI USA SRI S-Series PAB 5% Capped UCITS ETF EUR Acc,"0,25%",Capitalisation,Réplication complète,LU1659681586
ISRU.PA,Amundi Label ISR Actions USA UCITS ETF Acc,"0,20%",Capitalisation,Réplication complète,FR001400SDN8
EUPD.DE,Ossiam Shiller Barclays CAPE® US Sector Screened UCITS ETF 1A/A (EUR),"0,75%",Capitalisation,Réplication complète,IE0000GXRR13
PRFD.L,Invesco Preferred Shares UCITS ETF,"0,50%",Distribution,Réplication complète,IE00BDVJF675
XGVD.MI,Xtrackers Global Government Bond UCITS ETF 1D EUR hedged,"0,25%",Distribution,Échantillonnage,LU0690964092
IUHE.AS,iShares S&P 500 Health Care Sector UCITS ETF EUR Hedged (Dist),"0,18%",Distribution,Réplication complète,IE00BMBKBZ46
MATW.MI,Amundi S&P Global Materials ESG UCITS ETF DR EUR (A),"0,18%",Capitalisation,Réplication complète,IE000FCGBU62
FEX.L,First Trust US Large Cap Core AlphaDEX UCITS ETF Acc,"0,65%",Capitalisation,Réplication complète,IE00B8X9NW27
TRIA.L,Invesco US Treasury Bond 0-1 Year UCITS ETF Acc,"0,06%",Capitalisation,Échantillonnage,IE00BKWD3D06
100GBA.SW,UBS FTSE 100 UCITS ETF GBP dis,"0,20%",Distribution,Réplication complète,LU0136242590
ISRM.PA,Amundi Label ISR Actions Monde UCITS ETF Acc,"0,20%",Capitalisation,Réplication complète,FR001400SDM0
UEFS.DE,UBS BBG USD EM Sovereign UCITS ETF USD dis,"0,25%",Distribution,Échantillonnage,LU1324516050
STYC.L,PIMCO US Short-Term High Yield Corporate Bond UCITS ETF Acc,"0,55%",Capitalisation,Échantillonnage,IE00BVZ6SQ11
PCEL.AS,iShares MSCI Pacific ex-Japan ESG Enhanced CTB UCITS ETF USD (Acc),"0,20%",Capitalisation,Échantillonnage optimisé,IE00BMDBMK72
FAHY.L,Invesco US High Yield Fallen Angels UCITS ETF Dist,"0,45%",Distribution,Échantillonnage,IE00BD0Q9673
US71.L,Amundi US Treasury Bond 7-10Y UCITS ETF Dist,"0,06%",Distribution,Réplication complète,LU1407888053
XUKX.L,Xtrackers FTSE 100 UCITS ETF Income 1D,"0,09%",Distribution,Réplication complète,LU0292097234
WNDU.L,SPDR MSCI World Industrials UCITS ETF,"0,30%",Capitalisation,Réplication complète,IE00BYTRRC02
NICK.L,WisdomTree Nickel,"0,49%",Capitalisation,Basée sur swap,GB00B15KY211
BUYB.L,Invesco Global Buyback Achievers UCITS ETF,"0,39%",Distribution,Réplication complète,IE00BLSNMW37
WMAT.L,SPDR MSCI World Materials UCITS ETF,"0,30%",Capitalisation,Réplication complète,IE00BYTRRF33
CNAUA.SW,UBS MSCI China A SF UCITS ETF USD acc,"0,24%",Capitalisation,Basée sur swap,IE00BKFB6K94
WHCA.AS,iShares MSCI World Health Care Sector Advanced UCITS ETF USD (Acc),"0,18%",Capitalisation,Réplication complète,IE0009QS7W62
US37.PA,Amundi US Treasury Bond 3-7Y UCITS ETF Dist,"0,06%",Distribution,Réplication complète,LU1407888996
PRAZ.DE,Amundi Prime Eurozone UCITS ETF DR (C),"0,05%",Capitalisation,Réplication complète,LU2089238112
HSXE.L,HSBC EUROPE EX UK SCREENED EQUITY UCITS ETF EUR (Dist),"0,15%",Distribution,Réplication complète,IE00BKY58625
EXH2.DE,iShares STOXX Europe 600 Financial Services UCITS ETF (DE),"0,46%",Distribution,Réplication complète,DE000A0H08G5
XMBR.L,Xtrackers MSCI Brazil UCITS ETF 1C 1C,"0,25%",Capitalisation,Réplication complète,LU0292109344
BULL.L,WisdomTree Gold,"0,49%",Capitalisation,Basée sur swap,GB00B15KXX56
IE00BG0J4B71.SG,iShares Broad EUR High Yield Corporate Bond UCITS ETF EUR (Dist),"0,20%",Distribution,Échantillonnage optimisé,IE00BG0J4B71
AADA.SW,21Shares Cardano ETP,"2,50%",Capitalisation,Physiquement garanti,CH1102728750
STKX.MI,SPDR MSCI Europe Technology UCITS ETF,"0,18%",Capitalisation,Réplication complète,IE00BKWQ0K51
FSMF.MI,Fidelity Global Corp Bond Research Enhanced PAB UCITS ETF INC-USD,"0,25%",Distribution,Réplication complète,IE00BM9GRM34
LU1834985845.SG,Amundi STOXX Europe 600 Consumer Staples UCITS ETF Acc,"0,30%",Capitalisation,Basée sur swap non financé,LU1834985845
IE000TSML5I8.SG,Xtrackers MSCI USA Screened UCITS ETF 2C - EUR Hedged,"0,12%",Capitalisation,Réplication complète,IE000TSML5I8
WRDG.L,UBS Core MSCI World UCITS ETF hGBP dis,"0,09%",Distribution,Réplication complète,IE000KLSD4Y8
XBAG.DE,Xtrackers II ESG Global Aggregate Bond UCITS ETF 1D,"0,10%",Distribution,Échantillonnage,LU0942970103
LU2611731741.SG,Amundi DIVDAX UCITS ETF Dist,"0,25%",Distribution,Réplication complète,LU2611731741
VCDE.DE,Vanguard USD Corporate 1-3 Year Bond UCITS ETF (EUR) Hedged Accumulating,"0,14%",Capitalisation,Échantillonnage,IE00BGYWSW13
EUEUA.MI,UBS Core MSCI Europe UCITS ETF hEUR acc,"0,09%",Capitalisation,Réplication complète,LU1600334798
IE00BK5BC677.SG,L&G Healthcare Breakthrough UCITS ETF USD Acc,"0,49%",Capitalisation,Réplication complète,IE00BK5BC677
CH1209763130.SG,21Shares Ethereum Core Staking ETP,"0,21%",Capitalisation,Physiquement garanti,CH1209763130
MIVU.PA,Amundi MSCI USA Minimum Volatility Factor UCITS ETF DR,"0,18%",Capitalisation,Basée sur swap non financé,LU1589349734
CG9.PA,Amundi MSCI Europe Growth UCITS ETF - EUR (C),"0,35%",Capitalisation,Réplication complète,LU1681042435
GB00B15KYF40.SG,WisdomTree Precious Metals,"0,49%",Capitalisation,Basée sur swap,GB00B15KYF40
UTI.MI,Amundi STOXX Europe 600 Utilities UCITS ETF Acc,"0,30%",Capitalisation,Basée sur swap non financé,LU1834988864
SGQI.PA,Amundi Global Equity Quality Income UCITS ETF Dist,"0,45%",Distribution,Basée sur swap non financé,LU0832436512
JE00BN7KB664.SG,WisdomTree Wheat,"0,49%",Capitalisation,Basée sur swap,JE00BN7KB664
CBUY.DE,iShares MSCI ACWI SRI UCITS ETF USD (Acc),"0,20%",Capitalisation,Réplication complète,IE000JTPK610
LUTR.L,SPDR Bloomberg 10+ Year US Treasury Bond UCITS ETF,"0,15%",Distribution,Échantillonnage,IE00BYSZ5V04
LGWT.DE,Amundi MSCI Europe Growth UCITS ETF Dist,"0,35%",Distribution,Réplication complète,LU1598688189
IE000GGQK173.SG,abrdn Future Real Estate UCITS ETF USD Accumulating ETF,"0,40%",Capitalisation,Réplication complète,IE000GGQK173
OP8E.PA,Ossiam Bloomberg Canada PAB UCITS ETF 1A (EUR),"0,29%",Capitalisation,Réplication complète,IE0006QX3Y11
GB00BNGJ9G01.SG,WisdomTree Physical Solana,"0,50%",Capitalisation,Physiquement garanti,GB00BNGJ9G01
V3PA.SW,Vanguard ESG Developed Asia Pacific All Cap UCITS ETF (USD) Accumulating,"0,17%",Capitalisation,Réplication complète,IE000GOJO2A3
EGO.MI,UBS J.P. Morgan Global Gov ESG Liquid Bond UCITS ETF USD acc,"0,15%",Capitalisation,Échantillonnage,LU1974693662
IE00BNC1G699.SG,Xtrackers MSCI EMU ESG UCITS ETF 1C,"0,20%",Capitalisation,Réplication complète,IE00BNC1G699
HAGG.PA,HSBC BLOOMBERG GLOBAL ESG AGGREGATE 1-3 YEAR BOND UCITS ETF USD,"0,18%",Capitalisation,Échantillonnage,IE000XGNMWE1
IE000YDZG487.SG,HSBC Nasdaq Global Semiconductor UCITS ETF,"0,35%",Capitalisation,Réplication complète,IE000YDZG487
IE000I5MBLC4.SG,JPMorgan US Research Enhanced Index Equity SRI Paris Aligned UCITS ETF EUR (acc),"0,20%",Capitalisation,Échantillonnage optimisé,IE000I5MBLC4
CSMXCP.SW,iShares MSCI Mexico Capped UCITS ETF (Acc),"0,65%",Capitalisation,Réplication complète,IE00B5WHFQ43
IE000LAUZQT6.SG,Xtrackers MSCI World Value ESG UCITS ETF 1C 1C,"0,25%",Capitalisation,Réplication complète,IE000LAUZQT6
DAXD.SW,Amundi DAX III UCITS ETF Dist,"0,15%",Distribution,Réplication complète,LU2090062436
FDN.L,First Trust Dow Jones Internet UCITS ETF Acc,"0,55%",Capitalisation,Réplication complète,IE00BG0SSC32
EMUESG.MI,UBS MSCI EMU Universal UCITS ETF EUR acc,"0,12%",Capitalisation,Réplication complète,IE00BNC0M913
IE00BLRPRD67.SG,L&G ESG USD Corporate Bond UCITS ETF USD Dist,"0,09%",Distribution,Échantillonnage,IE00BLRPRD67
INDO.PA,Amundi MSCI Indonesia UCITS ETF Acc,"0,45%",Capitalisation,Basée sur swap non financé,LU1900065811
EXI5.DE,iShares STOXX Europe 600 Real Estate UCITS ETF (DE),"0,46%",Distribution,Réplication complète,DE000A0Q4R44
GAGH.PA,Amundi Global Aggregate Bond UCITS ETF DR - EUR Hedged (C),"0,10%",Capitalisation,Échantillonnage,LU1708330318
DXJJF,WisdomTree Japan Equity UCITS ETF USD Hedged,"0,48%",Distribution,Échantillonnage optimisé,IE00BVXC4854
XYLD.L,Xtrackers USD Corporate Bond Short Duration SRI PAB UCITS ETF 1D,"0,16%",Distribution,Échantillonnage,IE00BF8J5974
IE00BMVB5K07.SG,Vanguard LifeStrategy 20% Equity UCITS ETF Accumulating,"0,25%",Capitalisation,Réplication complète,IE00BMVB5K07
IE00BLSN7W87.SG,UBS S&P 500 ESG Elite UCITS ETF hEUR acc,"0,18%",Capitalisation,Réplication complète,IE00BLSN7W87
IE0007ULOZS8.SG,Xtrackers S&P 500 Scored & Screened UCITS ETF 1C 1C,"0,08%",Capitalisation,Réplication complète,IE0007ULOZS8
INDA.DE,Amundi STOXX Europe 600 Banks UCITS ETF Dist,"0,30%",Distribution,Basée sur swap non financé,LU2082996112
AT1D.SW,Invesco AT1 Capital Bond UCITS ETF Dist,"0,39%",Distribution,Réplication complète,IE00BG0TQB18
FCRN.DE,iShares World Equity Factor Rotation Active UCITS ETF USD (Acc),"0,30%",Capitalisation,Réplication complète,IE0009Y1MQJ2
GREAL.PA,BNP Paribas Easy FTSE EPRA Nareit Developed Europe Green CTB UCITS ETF Acc,"0,41%",Capitalisation,Réplication complète,LU2008763935
PQVM.MI,Invesco S&P 500 QVM UCITS ETF,"0,35%",Distribution,Réplication complète,IE00BDZCKK11
IE00BMVB5Q68.SG,Vanguard LifeStrategy 60% Equity UCITS ETF Distributing,"0,25%",Distribution,Réplication complète,IE00BMVB5Q68
IE0009WMIIC0.SG,HSBC Euro Lower Carbon Government 1-3 Year Bond UCITS ETF,"0,14%",Capitalisation,Échantillonnage,IE0009WMIIC0
X1GD.PA,Amundi Government Bond Lowest Rated Euro Investment Grade UCITS ETF EUR (D),"0,14%",Distribution,Échantillonnage,LU1681046857
XEXA.DE,L&G Multi-Strategy Enhanced Commodities ex-Agriculture & Livestock UCITS ETF USD Accumulating,"0,30%",Capitalisation,Basée sur swap non financé,IE000MQ5XEW1
EUSR.L,UBS MSCI EMU Socially Responsible UCITS ETF hGBP dis,"0,23%",Distribution,Réplication complète,LU1280300853
HYBB.PA,Amundi Euro High Yield Bond ESG UCITS ETF Dist,"0,35%",Distribution,Échantillonnage,LU1215415214
DX2I.DE,Xtrackers MSCI Europe Screened UCITS ETF 1C 1C,"0,12%",Capitalisation,Réplication complète,LU0322253732
SYBN.DE,SPDR Bloomberg 10+ Year US Corporate Bond UCITS ETF,"0,12%",Distribution,Échantillonnage,IE00BZ0G8860
LYHLTW.SW,Amundi MSCI World Health Care UCITS ETF USD Acc,"0,30%",Capitalisation,Basée sur swap non financé,LU0533033311
LMWE.DE,Amundi FTSE EPRA NAREIT Global Developed UCITS ETF Dist,"0,45%",Distribution,Basée sur swap non financé,LU1832418773
LU2675291913.SG,Xtrackers MSCI Emerging Markets Swap UCITS ETF 1D,"0,18%",Distribution,Basée sur swap non financé,LU2675291913
CBEF.MI,Amundi EUR Corporate Bond ex-Financials ESG UCITS ETF Acc,"0,14%",Capitalisation,Échantillonnage,LU1829218822
GB00B15KY989.SG,WisdomTree Broad Commodities,"0,49%",Capitalisation,Basée sur swap,GB00B15KY989
UD03.L,UBS Factor MSCI EMU Prime Value Screened UCITS ETF EUR dis,"0,25%",Distribution,Réplication complète,LU1215452928
CI2U.L,Amundi MSCI India UCITS ETF USD,"0,80%",Capitalisation,Basée sur swap non financé,LU1681043169
IE000I2WYEU9.SG,iShares iBonds Dec 2031 Term EUR Corporate UCITS ETF EUR (Dist),"0,12%",Distribution,Échantillonnage,IE000I2WYEU9
DE000A3GWEU3.SG,VanEck Crypto Leaders ETN,"1,50%",Capitalisation,Physiquement garanti,DE000A3GWEU3
PTPXE.PA,Amundi ETF PEA Japan Topix UCITS ETF,"0,20%",Capitalisation,Basée sur swap non financé,FR0013411980
PAEJ.PA,Amundi PEA Asie Pacifique (MSCI AC Asia Pacific Ex Japan) UCITS ETF Acc,"0,60%",Capitalisation,Basée sur swap non financé,FR0011869312
GILI.L,Amundi UK Government Inflation-Linked Bond UCITS ETF Dist,"0,07%",Distribution,Échantillonnage,LU1407893301
JE00BN7KB334.SG,WisdomTree Natural Gas,"0,49%",Capitalisation,Basée sur swap,JE00BN7KB334
CLOD.DE,Invesco EUR AAA CLO UCITS ETF Dist,"0,25%",Distribution,Réplication complète,IE000U7LIXH5
TIP1D.SW,UBS Core BBG TIPS 1-10 UCITS ETF USD dis,"0,08%",Distribution,Réplication complète,LU1459801434
EXX6.DE,iShares eb.rexx Government Germany 10.5+yr UCITS ETF (DE),"0,16%",Distribution,Échantillonnage,DE000A0D8Q31
IS31.DE,iShares Edge S&P 500 Minimum Volatility UCITS ETF EUR Hedged (Acc),"0,25%",Capitalisation,Échantillonnage optimisé,IE00BYX8XD24
VJPE.MI,Vanguard FTSE Japan UCITS ETF EUR Hedged Accumulating,"0,20%",Capitalisation,Réplication complète,IE00BFMXYY33
USSRIE.MI,UBS MSCI USA Socially Responsible UCITS ETF hEUR acc,"0,22%",Capitalisation,Réplication complète,IE00BJXT3G33
DBXI.DE,Xtrackers FTSE MIB UCITS ETF 1D,"0,30%",Distribution,Réplication complète,LU0274212538
T3MP.L,JPMorgan Climate Change Solutions UCITS ETF USD (Acc),"0,55%",Capitalisation,Réplication complète,IE000O8S1EX4
EEI.L,WisdomTree Europe Equity Income UCITS ETF,"0,29%",Distribution,Réplication complète,IE00BQZJBX31
FEUZ.L,First Trust Eurozone AlphaDEX UCITS ETF Acc,"0,65%",Capitalisation,Réplication complète,IE00B8X9NY41
LU0950669845.SG,UBS MSCI EMU Value UCITS ETF EUR acc,"0,25%",Capitalisation,Réplication complète,LU0950669845
XM1D.DE,Xtrackers MSCI Japan UCITS ETF 1D,"0,12%",Distribution,Réplication complète,LU2581375230
ICLO.L,Invesco USD AAA CLO UCITS ETF Dist,"0,25%",Distribution,Réplication complète,IE000PKN5N58
DHSA.L,WisdomTree US Equity Income UCITS ETF Acc,"0,29%",Capitalisation,Réplication complète,IE00BD6RZT93
PACEUA.MI,UBS MSCI Pacific ex Japan UCITS ETF USD dis,"0,14%",Distribution,Réplication complète,LU0446734526
GSOV.DE,Franklin Sustainable Euro Green Sovereign UCITS ETF (Acc),"0,18%",Capitalisation,Réplication complète,IE000P0R7WK6
X13G.PA,Amundi Government Bond Lowest Rated Euro Investment Grade 1-3 UCITS ETF DR EUR (C),"0,14%",Capitalisation,Réplication complète,LU1681046345
CARB.PA,WisdomTree Carbon,"0,35%",Capitalisation,Basée sur swap,JE00BP2PWW32
TIP10D.SW,UBS BBG TIPS 10+ UCITS ETF USD dis,"0,10%",Distribution,Réplication complète,LU1459802754
ANRJ.PA,Amundi Global Hydrogen UCITS ETF Acc,"0,45%",Capitalisation,Réplication complète,FR0010930644
ESGH.PA,Amundi MSCI Europe ESG Selection UCITS ETF EUR Hedged Acc,"0,25%",Capitalisation,Réplication complète,LU1940199984
FGQP.L,Fidelity Global Quality Income UCITS ETF (GBP Hedged),"0,45%",Distribution,Réplication complète,IE00BYV1YF22
EXV9.DE,iShares STOXX Europe 600 Travel & Leisure UCITS ETF (DE),"0,46%",Distribution,Réplication complète,DE000A0H08S0
IE000PJL7R74.SG,Invesco MSCI Emerging Markets ESG Climate Paris Aligned UCITS ETF Acc,"0,19%",Capitalisation,Réplication complète,IE000PJL7R74
EXID.DE,iShares MDAX® UCITS ETF (DE) EUR (Dist),"0,51%",Distribution,Réplication complète,DE000A2QP349
GAHU.PA,Amundi Global Aggregate Bond UCITS ETF DR - USD Hedged (C),"0,10%",Capitalisation,Échantillonnage,LU1778293313
TEET.AS,VanEck European Equal Weight Screened UCITS ETF A,"0,40%",Distribution,Réplication complète,NL0010731816
XLYS.L,Invesco US Consumer Discretionary Sector UCITS ETF,"0,14%",Capitalisation,Basée sur swap non financé,IE00B449XP68
COMH.MI,Amundi Bloomberg Equal-weight Commodity ex-Agriculture UCITS ETF EUR Hedged Acc,"0,35%",Capitalisation,Basée sur swap non financé,LU1900069219
BJLJ.DE,BNP Paribas Easy USD Corporate Bond SRI Fossil Free UCITS ETF Acc,"0,20%",Capitalisation,Réplication complète,LU2616774076
DRGN.MI,L&G China CNY Bond UCITS ETF USD Dist,"0,30%",Distribution,Réplication complète,IE00BLRPQL76
XWSC.DE,Xtrackers MSCI World Screened UCITS ETF 1C,"0,19%",Capitalisation,Échantillonnage optimisé,IE000I9HGDZ3
V3GP.L,Vanguard ESG Global Corporate Bond UCITS ETF GBP Hedged Distributing,"0,15%",Distribution,Échantillonnage,IE00BNDS1V99
FGGG.L,Fidelity Global Government Bond Climate Aware UCITS ETF GBP Hedged Inc,"0,25%",Capitalisation,Réplication complète,IE000QVCP9S5
JGSA.L,JPMorgan GBP Ultra-Short Income UCITS ETF GBP (Acc),"0,18%",Capitalisation,Réplication complète,IE00BG47J908
EXV7.DE,iShares STOXX Europe 600 Chemicals UCITS ETF (DE),"0,46%",Distribution,Réplication complète,DE000A0H08E0
