Ticker,Nom du fonds,Frais,Distribution,Réplication,ISIN,Annualised_Tracking_Difference
FXC.L,iShares China Large Cap UCITS ETF,"0,74%",Distribution,Réplication complète,IE00B02KXK85,-0.7899999999999999
CTEC.AS,iShares MSCI China Tech UCITS ETF USD (Acc),"0,45%",Capitalisation,Réplication complète,IE000NFR7C63,-0.6166666666666671
SXRP.DE,iShares Euro Government Bond 3-7yr UCITS ETF (Acc),"0,15%",Capitalisation,Échantillonnage,IE00B3VTML14,-0.146
EEWG.L,iShares MSCI World ESG Enhanced CTB UCITS ETF USD (Dist),"0,20%",Distribution,Échantillonnage optimisé,IE00BG11HV38,0.05600000000000023
IGLO.L,iShares Global Government Bond UCITS ETF USD (Dist),"0,20%",Distribution,Échantillonnage,IE00B3F81K65,-0.13999999999999985
EXV8.DE,iShares STOXX Europe 600 Construction & Materials UCITS ETF (DE),"0,46%",Distribution,Réplication complète,DE000A0H08F7,0.15
ROLL.L,iShares Bloomberg Roll Select Commodity Swap UCITS ETF USD,"0,28%",Capitalisation,Basée sur swap non financé,IE00BZ1NCS44,-0.9199999999999988
IBGL.L,iShares Euro Government Bond 15-30yr UCITS ETF (Dist),"0,15%",Distribution,Échantillonnage,IE00B1FZS913,-0.09799999999999898
IE000AK4O3W6.SG,iShares EUR Corporate Bond 0-3yr ESG SRI UCITS ETF EUR (Acc),"0,12%",Capitalisation,Échantillonnage,IE000AK4O3W6,-0.13666666666666671
IUAG.L,iShares US Aggregate Bond UCITS ETF (Dist),"0,25%",Distribution,Échantillonnage,IE00B44CGS96,-0.20800000000000002
ESIN.L,iShares MSCI Europe Industrials Sector UCITS ETF EUR (Acc),"0,18%",Capitalisation,Réplication complète,IE00BMW42520,0.2766666666666661
IMV.L,iShares Edge MSCI Europe Minimum Volatility UCITS ETF,"0,25%",Capitalisation,Échantillonnage optimisé,IE00B86MWN23,0.21000000000000085
CBUC.DE,iShares MSCI USA ESG Enhanced CTB UCITS ETF EUR Hedged (Acc),"0,10%",Capitalisation,Réplication complète,IE000U7L59A3,-3.4466666666666677
IWDP.L,iShares Developed Markets Property Yield UCITS ETF,"0,59%",Distribution,Échantillonnage optimisé,IE00B1FZS350,-0.0779999999999994
MIDD.L,iShares FTSE 250 UCITS ETF,"0,40%",Distribution,Échantillonnage optimisé,IE00B00FV128,-0.7460000000000008
DGIT.L,iShares Digitalisation UCITS ETF,"0,40%",Capitalisation,Échantillonnage optimisé,IE00BYZK4883,-0.22000000000000028
IFFF.SW,iShares MSCI AC Far East ex-Japan UCITS ETF,"0,74%",Distribution,Réplication complète,IE00B0M63730,-0.7079999999999999
SXRQ.DE,iShares Euro Government Bond 7-10yr UCITS ETF (Acc),"0,15%",Capitalisation,Échantillonnage,IE00B3VTN290,-0.1379999999999999
HYLD.L,iShares Global High Yield Corporate Bond UCITS ETF,"0,50%",Distribution,Échantillonnage,IE00B74DQ490,-0.4220000000000006
IITB.IL,iShares Italy Government Bond UCITS ETF EUR (Dist),"0,20%",Distribution,Échantillonnage,IE00B7LW6Y90,-0.18600000000000003
HEAL.L,iShares Healthcare Innovation UCITS ETF,"0,40%",Capitalisation,Échantillonnage optimisé,IE00BYZK4776,-0.242
IE0008UEVOE0.SG,iShares iBonds Dec 2028 Term EUR Corporate UCITS ETF EUR (Acc),"0,12%",Capitalisation,Échantillonnage,IE0008UEVOE0,-0.08999999999999986
DHYA.L,iShares USD High Yield Corporate Bond ESG SRI UCITS ETF USD (Acc),"0,25%",Capitalisation,Échantillonnage,IE00BJK55B31,-0.4
QDIV.L,iShares MSCI USA Quality Dividend Advanced UCITS ETF USD (Dist),"0,35%",Distribution,Réplication complète,IE00BKM4H312,0.16399999999999865
QDVP.DE,iShares US Mortgage Backed Securities UCITS ETF,"0,28%",Distribution,Échantillonnage,IE00BZ6V7883,-0.29799999999999993
SDHA.L,iShares USD Short Duration High Yield Corporate Bond UCITS ETF USD (Acc),"0,45%",Capitalisation,Échantillonnage,IE00BZ17CN18,-0.5079999999999998
USEE.DE,iShares US Equity Enhanced Active UCITS ETF USD (Acc),"0,20%",Capitalisation,Réplication complète,IE0009VWHAE6,-0.45000000000000284
WPEA.PA,iShares MSCI World Swap PEA UCITS ETF EUR (Acc),"0,25%",Capitalisation,Basée sur swap non financé,IE0002XZSHO1,-0.14000000000000057
EXIE.DE,iShares STOXX Europe 600 UCITS ETF (DE) EUR (Acc),"0,20%",Capitalisation,Réplication complète,DE000A2QP4B6,0.20999999999999908
IE000ZX8CQG2.SG,iShares EUR Corporate Bond ESG Paris-Aligned Climate UCITS ETF EUR (Dist),"0,15%",Distribution,Échantillonnage,IE000ZX8CQG2,-0.20333333333333345
IEDY.L,iShares Emerging Markets Dividend UCITS ETF,"0,65%",Distribution,Réplication complète,IE00B652H904,-0.3699999999999989
SDWD.L,iShares MSCI World Screened UCITS ETF USD (Dist),"0,20%",Distribution,Échantillonnage optimisé,IE00BFNM3K80,0.060000000000002274
EEDM.L,iShares MSCI EM ESG Enhanced CTB UCITS ETF USD (Dist),"0,18%",Distribution,Réplication complète,IE00BHZPJ122,-0.21000000000000013
EXV4.DE,iShares STOXX Europe 600 Health Care UCITS ETF (DE),"0,46%",Distribution,Réplication complète,DE000A0Q4R36,-0.28400000000000036
EFRN.DE,iShares EUR Floating Rate Bond Advanced UCITS ETF EUR (Dist),"0,10%",Distribution,Échantillonnage,IE00BF5GB717,-0.13000000000000006
IBGE.L,iShares Euro Government Bond 0-1yr UCITS ETF,"0,07%",Distribution,Échantillonnage,IE00B3FH7618,-0.10999999999999996
IE000SIZJ2B2.SG,iShares iBonds Dec 2026 Term EUR Corporate UCITS ETF EUR (Dist),"0,12%",Distribution,Échantillonnage,IE000SIZJ2B2,-0.1200000000000001
IJPE.L,iShares MSCI Japan EUR Hedged UCITS ETF (Acc),"0,64%",Capitalisation,Échantillonnage optimisé,IE00B42Z5J44,-1.6100000000000023
IE00BMW42181.SG,iShares MSCI Europe Health Care Sector UCITS ETF EUR (Acc),"0,18%",Capitalisation,Réplication complète,IE00BMW42181,-0.03333333333333336
SDHY.L,iShares USD Short Duration High Yield Corporate Bond UCITS ETF,"0,45%",Distribution,Échantillonnage,IE00BCRY6003,-0.5079999999999998
EXS2.DE,iShares TecDAX UCITS ETF (DE),"0,51%",Capitalisation,Réplication complète,DE0005933972,-0.5399999999999998
ISWD.SW,iShares MSCI World Islamic UCITS ETF,"0,30%",Distribution,Réplication complète,IE00B27YCN58,-0.22800000000000012
SUOA.AS,iShares USD Corporate Bond ESG SRI UCITS ETF (Acc),"0,15%",Capitalisation,Échantillonnage,IE00BKKKWJ26,-0.15599999999999997
EUN1.DE,iShares STOXX Europe 50 UCITS ETF,"0,35%",Distribution,Réplication complète,IE0008470928,-0.1200000000000017
IE00BJP26D89.SG,iShares EUR Ultrashort Bond ESG SRI UCITS ETF EUR (Dist),"0,09%",Distribution,Échantillonnage,IE00BJP26D89,-0.008000000000000184
IE00B0M62Y33.SG,iShares AEX UCITS ETF,"0,30%",Distribution,Réplication complète,IE00B0M62Y33,-0.5060000000000002
IEFM.L,iShares Edge MSCI Europe Momentum Factor UCITS ETF,"0,25%",Capitalisation,Échantillonnage optimisé,IE00BQN1K786,-0.11599999999999966
IE000U9ODG19.SG,iShares Global Aerospace & Defence UCITS ETF USD (Acc),"0,35%",Capitalisation,Réplication complète,IE000U9ODG19,-0.2700000000000031
IE000F6G1DE0.SG,iShares EUR Corporate Bond 1-5yr UCITS ETF EUR (Acc),"0,20%",Capitalisation,Échantillonnage,IE000F6G1DE0,-0.20666666666666642
DLTM.L,iShares MSCI EM Latin America UCITS ETF (Dist),"0,20%",Distribution,Échantillonnage optimisé,IE00B27YCK28,-0.9399999999999992
EMCP.L,iShares J.P. Morgan USD EM Corporate Bond UCITS ETF (Dist),"0,50%",Distribution,Échantillonnage,IE00B6TLBW47,-0.18599999999999994
IUCM.L,iShares S&P 500 Communication Sector UCITS ETF USD (Acc),"0,15%",Capitalisation,Réplication complète,IE00BDDRF478,0.008000000000001251
SLMG.DE,iShares J.P. Morgan Advanced USD EM Bond UCITS ETF EUR Hedged (Acc),"0,50%",Capitalisation,Échantillonnage,IE00BKP5L730,-2.098
INXG.L,iShares GBP Index-Linked Gilts UCITS ETF,"0,10%",Distribution,Échantillonnage,IE00B1FZSD53,-0.05799999999999983
IB27.PA,iShares iBonds Dec 2027 Term EUR Corporate UCITS ETF EUR (Acc),"0,12%",Capitalisation,Échantillonnage,IE000ZOI8OK5,-0.11000000000000032
28ID.PA,iShares iBonds Dec 2028 Term USD Corporate UCITS ETF USD (Acc),"0,12%",Capitalisation,Échantillonnage,IE0000UJ3480,-0.05999999999999961
CRPU.L,iShares Global Corporate Bond USD Hedged UCITS ETF,"0,25%",Capitalisation,Échantillonnage,IE00BF3N6Z78,0.542
TP05.L,iShares USD TIPS 0-5 UCITS ETF USD (Dist),"0,10%",Distribution,Échantillonnage,IE00BDQYWQ65,-0.04799999999999969
CRPA.L,iShares Global Corporate Bond UCITS ETF USD (Acc),"0,20%",Capitalisation,Échantillonnage,IE00BFM6TB42,-0.12199999999999997
ICDU.L,iShares S&P 500 Consumer Discretionary Sector UCITS ETF (Acc),"0,15%",Capitalisation,Réplication complète,IE00B4MCHD36,-0.03799999999999955
IFSW.L,iShares STOXX World Equity Multifactor UCITS ETF USD (Acc),"0,30%",Capitalisation,Échantillonnage optimisé,IE00BZ0PKT83,-0.47199999999999986
CYBU.AS,iShares China CNY Bond UCITS ETF USD Hedged (Dist),"0,40%",Distribution,Réplication complète,IE00BKT6RT64,1.2240000000000002
IGLG.L,iShares Physical Gold GBP Hedged ETC,"0,25%",Capitalisation,Physiquement garanti,IE000Q2P3ZQ3,-0.5400000000000015
IBGY.L,iShares Euro Government Bond 5-7yr UCITS ETF,"0,15%",Distribution,Échantillonnage,IE00B4WXJG34,-0.13800000000000007
ESIS.L,iShares MSCI Europe Consumer Staples Sector UCITS ETF EUR (Acc),"0,18%",Capitalisation,Réplication complète,IE00BMW42074,-0.05333333333333338
UPAB.AS,iShares S&P 500 Paris-Aligned Climate UCITS ETF USD (Acc),"0,07%",Capitalisation,Réplication complète,IE00BMXC7V63,0.19333333333333277
IE00BJ5JP105.SG,iShares MSCI World Energy Sector UCITS ETF USD (Dist),"0,18%",Distribution,Réplication complète,IE00BJ5JP105,0.8200000000000045
MPAB.AS,iShares MSCI EMU Paris-Aligned Climate UCITS ETF EUR (Dist),"0,15%",Distribution,Réplication complète,IE000FOSCLU1,0.47666666666666657
IESU.L,iShares S&P 500 Energy Sector UCITS ETF (Acc),"0,15%",Capitalisation,Réplication complète,IE00B42NKQ00,1.3600000000000023
2B7A.DE,iShares S&P 500 Utilities Sector UCITS ETF USD (Acc),"0,15%",Capitalisation,Réplication complète,IE00B4KBBD01,0.5599999999999994
EMNE.DE,iShares MSCI EMU ESG Enhanced CTB UCITS ETF EUR (Dist),"0,12%",Distribution,Échantillonnage optimisé,IE00BHZPHZ28,0.6800000000000012
IE000WA6L436.SG,iShares iBonds Dec 2026 Term EUR Corporate UCITS ETF EUR (Acc),"0,12%",Capitalisation,Échantillonnage,IE000WA6L436,-0.1200000000000001
EXSB.DE,iShares DivDAX UCITS ETF (DE),"0,31%",Distribution,Réplication complète,DE0002635273,-1.6660000000000026
IUKP.L,iShares UK Property UCITS ETF,"0,40%",Distribution,Réplication complète,IE00B1TXLS18,0.05599999999999996
ERND.L,iShares USD Ultrashort Bond UCITS ETF,"0,09%",Distribution,Échantillonnage,IE00BCRY6227,-0.08400000000000034
IUMF.L,iShares Edge MSCI USA Momentum Factor UCITS ETF,"0,20%",Capitalisation,Réplication complète,IE00BD1F4N50,-0.02599999999999909
0UCF.L,iShares Euro Corporate Bond Financials UCITS ETF,"0,20%",Distribution,Échantillonnage,IE00B87RLX93,-0.18999999999999995
IUS2.DE,iShares S&P U.S. Banks UCITS ETF USD (Acc),"0,35%",Capitalisation,Échantillonnage optimisé,IE00BD3V0B10,0.3060000000000002
EXSH.DE,iShares STOXX Europe Select Dividend 30 UCITS ETF (DE),"0,32%",Distribution,Réplication complète,DE0002635299,0.7680000000000007
SMIEX.SW,iShares SLI UCITS ETF (DE),"0,51%",Distribution,Réplication complète,DE0005933964,-1.7879999999999996
IUSP.AS,iShares US Property Yield UCITS ETF,"0,40%",Distribution,Réplication complète,IE00B1FZSF77,0.43400000000000033
IS3V.DE,iShares Global Inflation Linked Government Bond UCITS ETF EUR Hedged (Acc),"0,20%",Capitalisation,Échantillonnage,IE00BKPT2S34,-0.834
ITWN.MI,iShares MSCI Taiwan UCITS ETF,"0,74%",Distribution,Réplication complète,IE00B0M63623,-1.528
SUJA.L,iShares MSCI Japan SRI UCITS ETF USD (Acc),"0,20%",Capitalisation,Réplication complète,IE00BYX8XC17,-0.23200000000000073
EXSD.DE,iShares STOXX Europe Mid 200 UCITS ETF (DE),"0,21%",Distribution,Réplication complète,DE0005933998,0.41400000000000003
HYPE.DE,iShares EUR High Yield Corporate Bond ESG Paris-Aligned Climate UCITS ETF EUR (Dist),"0,25%",Distribution,Échantillonnage optimisé,IE000H92C4B8,0.20000000000000018
CU31.L,iShares USD Treasury Bond 1-3yr UCITS ETF (Acc),"0,07%",Capitalisation,Échantillonnage,IE00B3VWN179,-0.03200000000000003
EXHB.DE,iShares eb.rexx Government Germany 1.5-2.5yr UCITS ETF (DE),"0,16%",Distribution,Échantillonnage,DE0006289473,-0.148
AGED.L,iShares Ageing Population UCITS ETF,"0,40%",Capitalisation,Échantillonnage optimisé,IE00BYZK4669,-0.3200000000000003
DJMC.L,iShares EURO STOXX Mid UCITS ETF,"0,40%",Distribution,Échantillonnage optimisé,IE00B02KXL92,0.3239999999999995
EUMD.L,iShares MSCI Europe Mid Cap UCITS ETF EUR (Acc),"0,15%",Capitalisation,Échantillonnage optimisé,IE00BF20LF40,0.3400000000000006
IE00BMDFDY08.SG,iShares USD High Yield Corporate Bond ESG SRI UCITS ETF EUR Hedged (Acc),"0,27%",Capitalisation,Échantillonnage,IE00BMDFDY08,-3.0333333333333337
EXSG.DE,iShares EURO STOXX Select Dividend 30 UCITS ETF (DE),"0,32%",Distribution,Réplication complète,DE0002635281,1.0920000000000016
BTEC.L,iShares Nasdaq US Biotechnology UCITS ETF,"0,35%",Capitalisation,Échantillonnage optimisé,IE00BYXG2H39,-0.184
IBTU.L,iShares USD Treasury Bond 0-1yr UCITS ETF USD (Dist),"0,07%",Distribution,Échantillonnage,IE00BGR7L912,-0.04200000000000017
EMVL.L,iShares Edge MSCI EM Value Factor UCITS ETF USD (Acc),"0,40%",Capitalisation,Réplication complète,IE00BG0SKF03,-0.7899999999999977
IE00BMZ17W23.SG,iShares MSCI World SRI UCITS ETF EUR Hedged (Dist),"0,23%",Distribution,Réplication complète,IE00BMZ17W23,-2.560000000000001
WOEE.DE,iShares World Equity Enhanced Active UCITS ETF USD (Acc),"0,30%",Capitalisation,Réplication complète,IE000D8XC064,-0.4400000000000013
IEFQ.L,iShares Edge MSCI Europe Quality Factor UCITS ETF,"0,25%",Capitalisation,Échantillonnage optimisé,IE00BQN1K562,0.0460000000000008
EEJD.L,iShares MSCI Japan ESG Enhanced CTB UCITS ETF USD (Dist),"0,15%",Distribution,Échantillonnage optimisé,IE00BHZPJ346,-0.1739999999999995
HYLA.L,iShares Global High Yield Corporate Bond UCITS ETF,"0,50%",Capitalisation,Échantillonnage,IE00BYWZ0440,-0.4220000000000006
EMES.L,iShares J.P. Morgan Advanced USD EM Bond UCITS ETF USD (Dist),"0,45%",Distribution,Échantillonnage,IE00BDDRDW15,-0.096
EHYD.AS,iShares EUR High Yield Corporate Bond ESG SRI UCITS ETF EUR (Dist),"0,25%",Distribution,Échantillonnage,IE00BKLC5874,-0.16599999999999965
SUSU.L,iShares USD Corporate Bond 0-3yr ESG SRI UCITS ETF USD (Dist),"0,12%",Distribution,Échantillonnage,IE00BZ048579,-0.0740000000000002
IE000BI0GCN3.SG,iShares Core UK Gilts UCITS ETF EUR Hedged (Dist),"0,09%",Distribution,Échantillonnage,IE000BI0GCN3,-1.81
IE000GUOATN7.SG,iShares iBonds Dec 2025 Term EUR Corporate UCITS ETF EUR (Acc),"0,12%",Capitalisation,Échantillonnage,IE000GUOATN7,-0.020000000000000018
RISE.L,iShares Fallen Angels High Yield Corporate Bond UCITS ETF,"0,50%",Distribution,Échantillonnage,IE00BYM31M36,-0.4239999999999995
DJSC.L,iShares EURO STOXX Small UCITS ETF,"0,40%",Distribution,Échantillonnage optimisé,IE00B02KXM00,0.16000000000000086
2B7C.DE,iShares S&P 500 Industrials Sector UCITS ETF,"0,15%",Capitalisation,Réplication complète,IE00B4LN9N13,0.22400000000000092
ISJP.L,iShares MSCI Japan Small Cap UCITS ETF (Dist),"0,58%",Distribution,Échantillonnage optimisé,IE00B2QWDY88,-0.4320000000000007
MVEW.DE,iShares Edge MSCI World Minimum Volatility Advanced UCITS ETF (Acc),"0,30%",Capitalisation,Échantillonnage optimisé,IE00BKVL7778,-0.021999999999999888
EXH1.DE,iShares STOXX Europe 600 Oil & Gas UCITS ETF (DE),"0,47%",Distribution,Réplication complète,DE000A0H08M3,0.38199999999999934
SLMD.DE,iShares MSCI Europe Screened UCITS ETF EUR (Dist),"0,12%",Distribution,Échantillonnage optimisé,IE00BFNM3F38,0.4579999999999984
IAPD.L,iShares Asia Pacific Dividend UCITS ETF,"0,59%",Distribution,Réplication complète,IE00B14X4T88,-0.802000000000001
IE00BK95B138.SG,iShares USD Treasury Bond UCITS ETF USD (Dist),"0,07%",Distribution,Échantillonnage,IE00BK95B138,-0.036000000000000296
IE00BJ5JNZ06.SG,iShares MSCI World Health Care Sector Advanced UCITS ETF USD (Dist),"0,18%",Distribution,Réplication complète,IE00BJ5JNZ06,-0.10200000000000031
IGLA.L,iShares Global Government Bond UCITS ETF (Acc),"0,20%",Capitalisation,Échantillonnage,IE00BYZ28V50,-0.13999999999999985
IGIL.SW,iShares Global Inflation Linked Government Bond UCITS ETF USD (Acc),"0,20%",Capitalisation,Échantillonnage,IE00B3B8PX14,-0.16799999999999998
30IG.DE,iShares iBonds Dec 2030 Term EUR Corporate UCITS ETF EUR (Dist),"0,12%",Distribution,Échantillonnage,IE000LX17BP9,-0.1299999999999999
EXH4.DE,iShares STOXX Europe 600 Industrial Goods & Services UCITS ETF (DE),"0,46%",Distribution,Réplication complète,DE000A0H08J9,-0.3059999999999974
R1GR.AS,iShares Russell 1000 Growth UCITS ETF USD (Acc),"0,18%",Capitalisation,Réplication complète,IE000NITTFF2,-0.25
EXH9.DE,iShares STOXX Europe 600 Utilities UCITS ETF (DE),"0,47%",Distribution,Réplication complète,DE000A0Q4R02,0.3519999999999996
ESIC.L,iShares MSCI Europe Consumer Discretionary Sector UCITS ETF EUR (Acc),"0,18%",Capitalisation,Réplication complète,IE00BMW42298,0.21666666666666679
EXHD.DE,iShares eb.rexx Government Germany 5.5-10.5yr UCITS ETF (DE),"0,16%",Distribution,Échantillonnage,DE0006289499,-0.1360000000000003
IWDD.AS,iShares Core MSCI World UCITS ETF USD (Dist),"0,20%",Distribution,Échantillonnage optimisé,IE000OHHIBC6,0.019999999999999574
SUOU.AS,iShares USD Corporate Bond ESG SRI UCITS ETF (Dist),"0,15%",Distribution,Échantillonnage,IE00BK4W7N32,-0.15599999999999997
IAUS.L,iShares MSCI Australia UCITS ETF,"0,50%",Capitalisation,Réplication complète,IE00B5377D42,-0.6879999999999995
FLOT.L,iShares USD Floating Rate Bond UCITS ETF,"0,10%",Distribution,Échantillonnage,IE00BZ048462,-0.0740000000000002
IESP.IL,iShares Spain Government Bond UCITS ETF EUR (Dist),"0,20%",Distribution,Échantillonnage,IE00B428Z604,-0.17399999999999985
DHYD.AS,iShares USD High Yield Corporate Bond ESG SRI UCITS ETF USD (Dist),"0,25%",Distribution,Échantillonnage,IE00BKF09C98,-0.4
CNYB.L,iShares China CNY Bond UCITS ETF USD (Dist),"0,35%",Distribution,Réplication complète,IE00BYPC1H27,-0.2960000000000001
TI5A.AS,iShares USD TIPS 0-5 UCITS ETF USD (Acc),"0,10%",Capitalisation,Échantillonnage,IE000JXFRNI0,0.033333333333333215
IBGZ.L,iShares Euro Government Bond 10-15yr UCITS ETF,"0,15%",Distribution,Échantillonnage,IE00B4WXJH41,-0.13400000000000034
2B7D.DE,iShares S&P 500 Consumer Staples Sector UCITS ETF,"0,15%",Capitalisation,Réplication complète,IE00B40B8R38,0.38799999999999957
IEVD.DE,iShares Electric Vehicles and Driving Technology UCITS ETF USD (Acc),"0,40%",Capitalisation,Échantillonnage optimisé,IE00BGL86Z12,-0.021999999999999888
EXX5.DE,iShares Dow Jones US Select Dividend UCITS ETF (DE),"0,31%",Distribution,Réplication complète,DE000A0D8Q49,-2.8299999999999983
IE000I1D7D10.SG,iShares iBonds Dec 2027 Term USD Corporate UCITS ETF USD (Acc),"0,12%",Capitalisation,Échantillonnage,IE000I1D7D10,-0.03000000000000025
EMUM.L,iShares MSCI EMU Mid Cap UCITS ETF,"0,49%",Capitalisation,Réplication complète,IE00BCLWRD08,0.06999999999999887
ESPX.AS,iShares S&P 500 Scored and Screened UCITS ETF USD (Acc),"0,07%",Capitalisation,Réplication complète,IE000R9FA4A0,0.16000000000000014
SPOL.L,iShares MSCI Poland UCITS ETF USD (Acc),"0,74%",Capitalisation,Réplication complète,IE00B4M7GH52,-0.30199999999999816
IKSA.L,iShares MSCI Saudi Arabia Capped UCITS ETF USD (Acc),"0,60%",Capitalisation,Échantillonnage optimisé,IE00BYYR0489,-0.9759999999999991
DPYA.L,iShares Developed Markets Property Yield UCITS ETF USD (Acc),"0,59%",Capitalisation,Échantillonnage optimisé,IE00BFM6T921,-0.0759999999999998
SDJP.L,iShares MSCI Japan Screened UCITS ETF USD (Dist),"0,15%",Distribution,Échantillonnage optimisé,IE00BFNM3M05,-0.21400000000000005
ISAG.L,iShares Agribusiness UCITS ETF,"0,55%",Capitalisation,Réplication complète,IE00B6R52143,-0.3780000000000001
IJPD.L,iShares MSCI Japan USD Hedged UCITS ETF (Acc),"0,64%",Capitalisation,Échantillonnage optimisé,IE00BCLWRG39,-1.8860000000000015
EGEE.DE,iShares Emerging Markets Equity Enhanced Active UCITS ETF USD (Acc),"0,30%",Capitalisation,Réplication complète,IE000OVF8Q66,1.9600000000000009
IE00BMXC7W70.SG,iShares MSCI World Paris-Aligned Climate UCITS ETF USD (Acc),"0,20%",Capitalisation,Réplication complète,IE00BMXC7W70,-0.006666666666667709
ICBU.L,iShares USD Intermediate Credit Bond UCITS ETF,"0,15%",Distribution,Échantillonnage,IE00BDQZ5152,-0.15
CISB.SW,iShares Smart City Infrastructure UCITS ETF USD (Acc),"0,40%",Capitalisation,Échantillonnage optimisé,IE00BKTLJC87,-0.3619999999999976
IBE7.PA,iShares iBonds Dec 2027 Term EUR Corporate UCITS ETF EUR (Dist),"0,12%",Distribution,Échantillonnage,IE000H5X52W8,-0.11000000000000032
EMGA.L,iShares J.P. Morgan Emerging Markets Local Government Bond UCITS ETF USD (Acc),"0,50%",Capitalisation,Échantillonnage,IE00BFZPF546,-0.5740000000000001
EXXW.DE,iShares Dow Jones Asia Pacific Select Dividend 50 UCITS ETF (DE),"0,31%",Distribution,Réplication complète,DE000A0H0744,-0.4740000000000009
IDJG.L,iShares Euro Total Market Growth Large UCITS ETF,"0,40%",Distribution,Réplication complète,IE00B0M62V02,-0.3359999999999985
ISDE.L,iShares MSCI Emerging Markets Islamic UCITS ETF,"0,35%",Distribution,Réplication complète,IE00B27YCP72,-0.718
EUES.MI,iShares EUR Ultrashort Bond ESG SRI UCITS ETF EUR (Acc),"0,09%",Capitalisation,Échantillonnage,IE000NBRE3P7,0.07000000000000028
SRIL.AS,iShares MSCI USA SRI UCITS ETF USD (Dist),"0,20%",Distribution,Réplication complète,IE00BZ173T46,0.03799999999999955
IE0000X2DXK3.SG,iShares iBonds Dec 2025 Term USD Corporate UCITS ETF USD (Acc),"0,12%",Capitalisation,Échantillonnage,IE0000X2DXK3,0.0
IE00BKT1CS59.SG,iShares J.P. Morgan USD EM Corp Bond UCITS ETF EUR Hedged (Acc),"0,53%",Capitalisation,Échantillonnage,IE00BKT1CS59,-2.21
EXHA.DE,iShares eb.rexx Government Germany UCITS ETF (DE),"0,16%",Distribution,Échantillonnage,DE0006289465,-0.14400000000000013
IBC0.DE,iShares STOXX Europe Equity Multifactor UCITS ETF EUR (Acc),"0,25%",Capitalisation,Échantillonnage optimisé,IE00BZ0PKV06,-0.18600000000000136
IE0000VITHT2.SG,iShares iBonds Dec 2028 Term USD Corporate UCITS ETF USD (Dist),"0,12%",Distribution,Échantillonnage,IE0000VITHT2,-0.05999999999999961
26ID.PA,iShares iBonds Dec 2026 Term USD Corporate UCITS ETF USD (Acc),"0,12%",Capitalisation,Échantillonnage,IE000BWITBP9,-0.08000000000000007
SEMD.AS,iShares MSCI EM SRI UCITS ETF USD (Dist),"0,25%",Distribution,Réplication complète,IE00BGDQ0T50,-0.5299999999999997
IWDS.AS,iShares MSCI World Swap UCITS ETF USD (Acc),"0,12%",Capitalisation,Basée sur swap non financé,IE000F9IDGB5,0.17999999999999972
IEMS.L,iShares MSCI Emerging Markets Small Cap UCITS ETF,"0,74%",Distribution,Échantillonnage optimisé,IE00B3F81G20,-0.9900000000000005
020Y.L,iShares EUR Government Bond 20yr Target Duration UCITS ETF EUR (Dist),"0,15%",Distribution,Échantillonnage,IE00BSKRJX20,0.012000000000000455
IDKO.L,iShares MSCI Korea UCITS ETF (Dist),"0,65%",Distribution,Réplication complète,IE00B0M63391,-0.7219999999999999
IBZL.L,iShares MSCI Brazil UCITS ETF (Dist),"0,74%",Distribution,Réplication complète,IE00B0M63516,-1.47
EXI3.DE,iShares Dow Jones Industrial Average UCITS ETF (DE),"0,51%",Distribution,Réplication complète,DE0006289390,-1.9900000000000007
EMV.L,iShares Edge MSCI EM Minimum Volatility UCITS ETF,"0,40%",Capitalisation,Échantillonnage optimisé,IE00B8KGV557,-0.6719999999999992
IUSZ.L,iShares MSCI USA Mid-Cap Equal Weight UCITS ETF USD (Acc),"0,20%",Capitalisation,Échantillonnage optimisé,IE00BD1F4K20,0.07800000000000011
IWFS.L,iShares MSCI World Mid-Cap Equal Weight UCITS ETF USD (Acc),"0,30%",Capitalisation,Échantillonnage optimisé,IE00BP3QZD73,-0.14399999999999977
ESIT.L,iShares MSCI Europe Information Technology Sector UCITS ETF EUR (Acc),"0,18%",Capitalisation,Réplication complète,IE00BMW42413,-0.046666666666666856
AGUG.AS,iShares Core Global Aggregate Bond UCITS ETF USD Hedged (Dist),"0,10%",Distribution,Échantillonnage,IE00BMGNVD65,1.748
IE000CR7DJI8.SG,iShares S&P 500 Scored and Screened UCITS ETF EUR Hedged (Acc),"0,10%",Capitalisation,Réplication complète,IE000CR7DJI8,-1.8899999999999988
EXXY.DE,iShares Diversified Commodity Swap UCITS ETF (DE),"0,46%",Capitalisation,Basée sur swap non financé,DE000A0H0728,-1.526000000000002
ICHD.AS,iShares MSCI China UCITS ETF USD (Dist),"0,28%",Distribution,Réplication complète,IE00BL977C92,-0.24399999999999977
ISED.AS,iShares MSCI Europe SRI UCITS ETF EUR (Dist),"0,20%",Distribution,Réplication complète,IE00BGDPWW94,0.31000000000000083
EUEE.DE,iShares Europe Equity Enhanced Active UCITS ETF EUR (Acc),"0,25%",Capitalisation,Réplication complète,IE00000EF730,0.11000000000000032
UESD.L,iShares GBP Ultrashort Bond ESG SRI ​UCITS ETF GBP (Dist),"0,09%",Distribution,Échantillonnage,IE00BJP26F04,-0.016000000000000014
IWVE.AS,iShares MSCI World Value Factor Advanced UCITS ETF USD (Acc),"0,25%",Capitalisation,Réplication complète,IE000H1H16W5,0.14333333333333323
